Draw Date,Draw#,Numbers,PowerBall,Multiplier,Jackpot,Wins,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
2012-10-10,1175,11-12-14-21-31,4,,6002162.21,0.0,11,12,14,21,31
2012-10-13,1176,3-7-10-13-27,9,,7686576.78,0.0,3,7,10,13,27
2012-10-17,1177,6-8-18-19-33,5,,9436212.61,0.0,6,8,18,19,33
2012-10-20,1178,17-26-28-31-35,9,,11922881.27,0.0,17,26,28,31,35
2012-10-24,1179,2-3-17-27-34,9,,16792226.96,1.0,2,3,17,27,34
2012-10-27,1180,5-8-17-27-31,10,,2000000.0,0.0,5,8,17,27,31
2012-10-31,1181,14-15-19-25-29,2,,1129071.52,2.0,14,15,19,25,29
2012-11-03,1182,5-11-15-31-35,5,,2000000.0,0.0,5,11,15,31,35
2012-11-07,1183,1-11-24-29-33,9,,2100000.0,0.0,1,11,24,29,33
2012-11-10,1184,7-12-16-18-28,10,,1651451.34,0.0,7,12,16,18,28
2012-11-14,1185,10-15-19-25-26,3,,2065961.06,0.0,10,15,19,25,26
2012-11-17,1186,2-19-30-33-34,7,,2636566.26,0.0,2,19,30,33,34
2012-11-21,1187,2-11-15-20-27,2,,3115912.64,0.0,2,11,15,20,27
2012-11-24,1188,1-15-16-18-32,6,,3692819.08,0.0,1,15,16,18,32
2012-11-28,1189,5-18-19-24-29,9,,4257282.28,0.0,5,18,19,24,29
2012-12-01,1190,20-26-28-32-34,8,,4987528.04,0.0,20,26,28,32,34
2012-12-05,1191,7-15-16-24-32,5,,5649713.5,0.0,7,15,16,24,32
2012-12-08,1192,3-16-25-26-33,8,,6429228.38,0.0,3,16,25,26,33
2012-12-12,1193,7-14-15-19-23,4,,7229042.0,0.0,7,14,15,19,23
2012-12-15,1194,3-5-13-26-32,8,,8184978.48,0.0,3,5,13,26,32
2012-12-19,1195,13-14-23-29-34,7,,9206565.62,1.0,13,14,23,29,34
2012-12-22,1196,22-24-27-29-30,10,,,,22,24,27,29,30
2012-12-26,1197,8-10-11-21-29,4,,2000000.0,0.0,8,10,11,21,29
2012-12-29,1198,11-15-18-22-26,1,,2000000.0,0.0,11,15,18,22,26
2013-01-02,1199,3-6-7-15-19,4,,2000000.0,0.0,3,6,7,15,19
2013-01-05,1200,3-15-27-28-30,4,,2362994.49,0.0,3,15,27,28,30
2013-01-09,1201,8-13-26-30-31,6,,2810028.83,0.0,8,13,26,30,31
2013-01-12,1202,8-13-17-20-23,4,,3357092.08,0.0,8,13,17,20,23
2013-01-16,1203,16-18-25-27-30,4,,3871455.02,0.0,16,18,25,27,30
2013-01-19,1204,13-16-20-28-33,1,,4511959.8,0.0,13,16,20,28,33
2013-01-23,1205,5-8-9-17-34,6,,5138599.28,0.0,5,8,9,17,34
2013-01-26,1206,4-8-19-31-35,3,,5934128.36,0.0,4,8,19,31,35
2013-01-30,1207,4-26-30-31-34,2,,6729930.95,1.0,4,26,30,31,34
2013-02-02,1208,4-17-24-28-34,5,,2000000.0,0.0,4,17,24,28,34
